champion_name,region,tier,patch,position,level,win_rate,pick_rate,ban_rate,counters1_name,counters1_win_rate,counters1_games,counters2_name,counters2_win_rate,counters2_games,counters3_name,counters3_win_rate,counters3_games,counters4_name,counters4_win_rate,counters4_games,counters5_name,counters5_win_rate,counters5_games,counters6_name,counters6_win_rate,counters6_games,counters7_name,counters7_win_rate,counters7_games,counters8_name,counters8_win_rate,counters8_games,counters9_name,counters9_win_rate,counters9_games,counters10_name,counters10_win_rate,counters10_games,equip1_name,equip1_pick_rate,equip2_name,equip2_pick_rate,equip3_name,equip3_pick_rate,equip4_name,equip4_pick_rate,equip5_name,equip5_pick_rate
LOL.top.drmundo,global,all,12.23,top,op,55.19,8.93,8.16,LOL.top.darius,58.6,29048,LOL.top.aatrox,50.13,26801,LOL.top.mordekaiser,53.34,25944,LOL.top.sett,55.15,23406,LOL.top.fiora,50.91,21461,LOL.top.gangplank,58.23,19384,LOL.top.nasus,51.08,18187,LOL.top.teemo,55.86,17765,LOL.top.garen,53.51,17115,LOL.top.jax,58.48,16580,"心之钢,日炎圣盾,振奋盔甲",23.35,"心之钢,日炎圣盾,荆棘之甲",19.6,"心之钢,日炎圣盾,巨型九头蛇",6.21,"心之钢,日炎圣盾,狂徒铠甲",3.6,"心之钢,荆棘之甲,振奋盔甲",3.6
LOL.top.drmundo,global,all,12.23,jungle,2,54.14,3.02,2.76,LOL.top.sylas,55.07,10800,LOL.top.masteryi,50.55,8201,LOL.top.kayn,54.0,7624,LOL.top.udyr,50.99,7552,LOL.top.hecarim,55.24,7295,LOL.top.leesin,58.06,7231,LOL.top.warwick,53.47,7169,LOL.top.ekko,54.23,6928,LOL.top.lillia,48.92,6425,LOL.top.diana,54.9,6025,"心之钢,日炎圣盾,振奋盔甲",25.22,"心之钢,日炎圣盾,荆棘之甲",21.54,"心之钢,日炎圣盾,巨型九头蛇",5.07,"心之钢,日炎圣盾,狂徒铠甲",3.22,"心之钢,荆棘之甲,振奋盔甲",3.12
LOL.top.drmundo,global,diamond,12.23,top,1,51.6,7.75,4.8,LOL.top.aatrox,47.31,799,LOL.top.ksante,48.98,686,LOL.top.darius,54.33,600,LOL.top.fiora,47.26,529,LOL.top.gangplank,55.69,510,LOL.top.camille,52.78,504,LOL.top.mordekaiser,51.67,449,LOL.top.jax,51.17,385,LOL.top.sett,55.69,343,LOL.top.irelia,46.39,332,"心之钢,日炎圣盾,振奋盔甲",28.74,"心之钢,日炎圣盾,荆棘之甲",15.76,"心之钢,日炎圣盾,巨型九头蛇",10.67,"心之钢,振奋盔甲,日炎圣盾",3.92,"心之钢,日炎圣盾,兰顿之兆",2.93
LOL.top.drmundo,global,diamond,12.23,jungle,4,48.97,2.3,1.41,LOL.top.sylas,56.47,255,LOL.top.ekko,55.8,181,LOL.top.hecarim,52.41,166,LOL.top.graves,58.6,157,LOL.top.leesin,52.63,152,LOL.top.udyr,50.0,132,LOL.top.kindred,46.21,132,LOL.top.kayn,44.44,126,LOL.top.lillia,44.8,125,LOL.top.diana,45.3,117,"心之钢,日炎圣盾,振奋盔甲",29.18,"心之钢,日炎圣盾,荆棘之甲",21.14,"心之钢,日炎圣盾,巨型九头蛇",11.72,"辉耀美德,日炎圣盾,振奋盔甲",4.65,"心之钢,振奋盔甲,日炎圣盾",2.81
LOL.top.drmundo,global,platinum,12.23,top,1,53.26,8.43,6.96,LOL.top.aatrox,47.5,2825,LOL.top.gangplank,57.14,2611,LOL.top.darius,57.79,2395,LOL.top.fiora,49.46,2127,LOL.top.ksante,53.35,2105,LOL.top.mordekaiser,52.1,1879,LOL.top.camille,52.07,1740,LOL.top.sett,54.57,1675,LOL.top.jax,58.05,1392,LOL.top.nasus,50.56,1246,"心之钢,日炎圣盾,振奋盔甲",25.97,"心之钢,日炎圣盾,荆棘之甲",18.36,"心之钢,日炎圣盾,巨型九头蛇",8.73,"心之钢,振奋盔甲,日炎圣盾",3.6,"心之钢,荆棘之甲,振奋盔甲",3.04
LOL.top.drmundo,global,platinum,12.23,jungle,2,52.01,2.91,2.39,LOL.top.sylas,55.74,1071,LOL.top.ekko,53.84,769,LOL.top.hecarim,51.56,735,LOL.top.udyr,51.36,734,LOL.top.leesin,55.04,714,LOL.top.lillia,48.96,670,LOL.top.graves,60.56,644,LOL.top.kayn,53.13,608,LOL.top.diana,50.25,603,LOL.top.masteryi,47.92,528,"心之钢,日炎圣盾,振奋盔甲",28.14,"心之钢,日炎圣盾,荆棘之甲",21.03,"心之钢,日炎圣盾,巨型九头蛇",7.76,"心之钢,振奋盔甲,日炎圣盾",3.02,"辉耀美德,日炎圣盾,振奋盔甲",2.56
LOL.top.drmundo,global,gold,12.23,top,op,55.17,8.85,8.32,LOL.top.aatrox,49.33,5524,LOL.top.darius,57.32,5450,LOL.top.gangplank,58.5,4928,LOL.top.fiora,51.0,4522,LOL.top.mordekaiser,52.16,4507,LOL.top.sett,53.7,4123,LOL.top.ksante,57.01,3382,LOL.top.nasus,50.52,3349,LOL.top.jax,58.85,3227,LOL.top.garen,51.77,2903,"心之钢,日炎圣盾,振奋盔甲",24.8,"心之钢,日炎圣盾,荆棘之甲",20.37,"心之钢,日炎圣盾,巨型九头蛇",6.74,"心之钢,荆棘之甲,振奋盔甲",3.63,"心之钢,振奋盔甲,日炎圣盾",3.46
LOL.top.drmundo,global,gold,12.23,jungle,2,54.28,3.17,3.02,LOL.top.sylas,54.66,2629,LOL.top.leesin,57.95,1748,LOL.top.udyr,49.97,1687,LOL.top.hecarim,56.35,1622,LOL.top.lillia,49.3,1576,LOL.top.ekko,52.77,1569,LOL.top.kayn,54.8,1531,LOL.top.masteryi,51.66,1502,LOL.top.graves,59.15,1464,LOL.top.shaco,54.19,1288,"心之钢,日炎圣盾,振奋盔甲",27.27,"心之钢,日炎圣盾,荆棘之甲",22.35,"心之钢,日炎圣盾,巨型九头蛇",5.68,"心之钢,荆棘之甲,振奋盔甲",3.12,"心之钢,振奋盔甲,日炎圣盾",2.86
LOL.top.drmundo,global,silver,12.23,top,1,56.45,9.3,8.83,LOL.top.darius,58.88,6126,LOL.top.mordekaiser,52.96,5476,LOL.top.aatrox,51.84,5195,LOL.top.sett,55.14,4955,LOL.top.teemo,55.55,4436,LOL.top.fiora,51.93,4369,LOL.top.nasus,51.28,4167,LOL.top.garen,53.66,3824,LOL.top.gangplank,59.83,3438,LOL.top.jax,59.62,3435,"心之钢,日炎圣盾,振奋盔甲",23.47,"心之钢,日炎圣盾,荆棘之甲",21.0,"心之钢,日炎圣盾,巨型九头蛇",5.68,"心之钢,荆棘之甲,振奋盔甲",4.09,"心之钢,日炎圣盾,狂徒铠甲",3.99
LOL.top.drmundo,global,silver,12.23,jungle,2,55.49,3.2,3.01,LOL.top.sylas,55.06,2281,LOL.top.masteryi,50.54,1767,LOL.top.kayn,54.2,1703,LOL.top.warwick,56.2,1694,LOL.top.udyr,51.83,1586,LOL.top.leesin,59.92,1497,LOL.top.ekko,55.17,1441,LOL.top.hecarim,56.07,1400,LOL.top.shaco,56.07,1384,LOL.top.lillia,49.18,1342,"心之钢,日炎圣盾,振奋盔甲",26.43,"心之钢,日炎圣盾,荆棘之甲",23.66,"心之钢,日炎圣盾,巨型九头蛇",4.51,"心之钢,荆棘之甲,振奋盔甲",3.71,"心之钢,日炎圣盾,狂徒铠甲",3.52
