champion_name,tier,position,12.23,12.22,12.21
drmundo,platinum,top,1,3,3
fiora,platinum,top,1,op,1
aatrox,platinum,top,2,1,1
ksante,platinum,top,3,2,4
camille,platinum,top,3,1,2
mordekaiser,platinum,top,2,1,1
darius,platinum,top,3,1,1
shen,platinum,top,3,1,1
gangplank,platinum,top,3,1,2
warwick,platinum,top,3,2,2
irelia,platinum,top,3,2,2
olaf,platinum,top,3,2,2
nasus,platinum,top,3,1,1
illaoi,platinum,top,3,2,2
zac,platinum,top,3,5,4
singed,platinum,top,3,2,2
kled,platinum,top,3,2,2
jax,platinum,top,3,2,2
garen,platinum,top,3,2,1
sett,platinum,top,3,2,1
riven,platinum,top,4,2,2
malphite,platinum,top,3,4,3
quinn,platinum,top,4,3,4
urgot,platinum,top,4,2,2
tryndamere,platinum,top,4,2,4
ornn,platinum,top,4,2,1
kayle,platinum,top,4,3,4
akshan,platinum,top,4,4,4
renekton,platinum,top,4,3,3
teemo,platinum,top,4,2,3
pantheon,platinum,top,4,3,4
rengar,platinum,top,4,3,4
tahmkench,platinum,top,4,5,4
gwen,platinum,top,4,3,4
jayce,platinum,top,4,3,4
yorick,platinum,top,4,3,3
maokai,platinum,top,4,5,4
chogath,platinum,top,4,5,4
heimerdinger,platinum,top,4,4,4
poppy,platinum,top,4,4,4
sion,platinum,top,4,4,2
gnar,platinum,top,5,5,4
yone,platinum,top,4,4,4
vayne,platinum,top,4,4,4
sejuani,platinum,top,5,4,2
lillia,platinum,top,5,3,5
volibear,platinum,top,5,5,4
gragas,platinum,top,5,5,5
kennen,platinum,top,5,5,5
vladimir,platinum,top,5,5,5
rumble,platinum,top,5,5,5
yasuo,platinum,top,5,5,5
swain,platinum,top,5,5,
graves,platinum,top,5,,
akali,platinum,top,5,5,5
trundle,platinum,top,5,4,5
ryze,platinum,top,5,5,5
